"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","河和田","赤塚",10,25000000,250,"","",110,"2022年","木造","","","西","公道",4,"１中住専",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","","",12000000,175,"","",120,"1991年","木造","","","西","",6.3,"１低住専",40,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",15000000,180,"","",140,"1999年","軽量鉄骨造","","","北東","公道",6.3,"１低住専",50,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸",25,26000000,185,"","",105,"2008年","木造","","","南","公道",6,"１低住専",40,80,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","平須町","","",11000000,235,"","",95,"1983年","木造","","","","公道","","１低住専",50,100,"2023年第2四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","平須町","","",8900000,240,"","",110,"1982年","木造","","","北西","公道",6.2,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","平須町","水戸","1H～1H30",17000000,215,"","",90,"1985年","木造","","","南西","公道",6.2,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","赤塚","",20000000,155,"","",100,"2023年","木造","","","西","公道",5.5,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","赤塚","",20000000,155,"","",100,"2023年","木造","","","西","公道",5.5,"１低住専",50,100,"2023年第3四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","新荘","","",15000000,165,"","",95,"2005年","木造","","","東","",6,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","住吉町","水戸","30分～60分",16000000,150,"","",100,"","木造","","","北","公道",3.6,"工業",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","赤塚","30分～60分",17000000,260,"","",105,"","木造","","","南西","私道",6.2,"２種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","水戸","",23000000,180,"","",110,"2022年","木造","","","","","","１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","見川","水戸","",24000000,175,"","",110,"2022年","木造","","","","","","１低住専",40,80,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","30分～60分",19000000,175,"","",100,"","木造","","","南","私道",4,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",25000000,235,"","",90,"2019年","木造","","","東","公道",9,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","元吉田町","水戸","",20000000,170,"","",110,"2016年","木造","","","南西","公道",6,"１種住居",60,200,"2023年第4四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","新原","水戸","",22000000,275,"","",100,"2022年","木造","","","北","公道",4,"１種住居",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","新原","水戸","",20000000,205,"","",95,"2022年","木造","","","北","公道",4,"１種住居",60,200,"2023年第1四半期",""
"宅地(土地と建物)","成約価格情報","","08201","茨城県","水戸市","千波町","水戸",25,19000000,215,"","",100,"","木造","","","北東","公道",6.3,"準住居",60,200,"2023年第1四半期",""
